,titles,users,descriptions,dates
76,Top Three Favorite Movies,email-142-427029,"This film is easily in my top three favorite films. I return to it time and time again, still captivated! Bravo to everyone involved in this timeless production.

                    5 out of 5 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",25 April 2021
77,Hope Unchained: The Shawshank Redemption,vogeli-14492,"It is an extraordinary cinematic masterpiece that unfurls a profoundly moving tale of hope, friendship, and the unyielding human spirit. Tim Robbins portrays Andy Dufresne, a man unjustly imprisoned for a crime he didn't commit, while Morgan Freeman delivers a captivating performance as Red, his fellow inmate and confidant. As the story unfolds within the walls of Shawshank State Penitentiary, the film explores the resilience of the human soul and the transformative power of hope in the darkest of circumstances. Directed with skill and sensitivity by Frank Darabont, this timeless classic weaves a tapestry of emotions, leaving a lasting impression on its audience. ""Hope Unchained: The Shawshank Redemption"" continues to inspire and uplift, reminding us that even in the face of adversity, hope can set us free.

                    5 out of 5 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",23 July 2023
78,"""I have to remind myself that some birds aren't meant to be caged""",ashi-lance,"""Every mind has billions of ideas and each one of us do things that no one expects us to do, some of those things are visible, some not but one of those things that make our life worth living is FREEDOM""Tim Robbins stars as Andy Dufresne, a young man who faces a long, long time in prison after he is wrongfully found guilty of murdering his wife and her lover. While inside he learns an awful lot about what a man can hold onto and let himself be put through if there is still an ounce of hope in his soul. Bottles of cool drink on a hot rooftop, a slowly building library collection, the moment of musical joy that sees Dufresne severely punished for his overstepping of the mark and many other scenes spring to mind as classic moments in a movie almost chock full of classic moments. Andy quickly gets befriended by ""Red"" (Morgan Freeman), actually the narrator of the story, both soon prove that even in the worst circumstances, within the ""hell on earth"" they can maintain human dignity and strive on their own way to freedom... Morgan Freeman is the film's secret strength, playing ""the guy who can get it for you"" with a note of welcome ambiguity. Watching him in an early scene, when a fat, new convict (fresh fish) is being beaten by cruel head guard Captain Hadley (Clancy Brown), you don't know whether Red looks so crestfallen for the victim or for the packs of cigarettes he just lost betting the guy wouldn't break before Dufresne James Whitmore was equally memorable as a prisoner who was unable to adjust to the outside after his parole following a 50 year stint. This shows that people who have been incarcerated for such a long period, need some sort of readjustment training before they rejoin society. For Whitmore, freedom meant ultimate doom, making the scene one of my all-time favorite displaying the ultimate dark side and a certain fear in freedom. Tim Robbins, Morgan Freeman along with James Whitmore etched unforgettable performances as prisoners charged with crime. The film shows what prison life is all about. Subjects dealing with prison survival, brutality, corruption and ultimate redemption are well shown. An outstanding film dealing with prisons as seen by several prisoners. Many social problems are discussed here. The picture earned a well-deserved best picture Oscar nomination. It certainly should have tied with the winner, the equally good ""Forrest Gump.""My Rating - 10/10",7 February 2013
79,Simply Wonderful,Kubrickfan15,"One of the best movies ever made. Simple as that. Top 20 ever, and top 3 of the 90s. The ending is just so powerful.

                    5 out of 5 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",13 November 2020
80,Hope is a Good Thing. Maybe the Best of Things. And No Good Thing Ever Dies.,CinemaClown,"Out of the three genre-defining classics released in 1994, The Shawshank Redemption was the one that ended up bearing the maximum brunt. First commercially by failing to recover its budget for it debuted in theatres together with one of cinema's greatest watershed events; Pulp Fiction. And then at Academy Awards where it was nominated for seven Oscars yet failed to win any, thanks to the sweeping show by the critics' darling, Forrest Gump.But life ever since has been very kind to this film, and both critics & viewers have embraced its uplifting story of hope & friendship with remarkable amount of respect, love & kindness. Today, The Shawshank Redemption enjoys a position that's arguably even higher than the two classics which eclipsed it back in 1994 and while it was discarded at its time of release, it is now rightly & universally acknowledged as one of the greatest films of all time.The Shawshank Redemption tells the story of Andy Dufresne, a successful banker, who is wrongfully convicted of murdering his wife & her illicit lover and is ultimately sentenced to two consecutive life terms in prison where his coping with the brutal hardships of confined life slowly earns him the respect of his fellow inmates & prison staff, including that of ""Red"" in whom Andy finds a trusted ally. The remainder of the film explores their friendship over the next two decades.Written & directed by Frank Darabont, this prison drama is a simple but profoundly moving tale of hope, friendship & redemption that'll manage to connect deeply with most of us in one way or another plus it also marks Darabont's directional debut and he couldn't have asked for a better start. All this film has is men in either prison or police uniforms talking to one another over the course of its runtime and yet it never looked dull or felt like dragging at any given moment.Cinematography exquisitely captures the monotonous daily life inside prison and provides considerable depth & realism to the era this film is set in. Every moment of despair has a shadowy appearance while moments of hope gleam with light. Editing is spectacular too as the gradual progression of Andy's life, his friendship with Red, and his determination to not give in to the four walls containing him is effectively unfolded. And Thomas Newman's score beautifully blends with the film's tone & characters' lives, and is emotionally fulfilling.Coming to the performances, Tim Robbins delivers a swashbuckling performance as Andy Dufresne, the banker wrongfully convicted for the crime he didn't commit. And if Robbins is at his best, then Morgan Freeman is even better as Red, Andy's friend who is also serving a life sentence & is notorious amongst the inmates for he can smuggle goods into the prison. Freeman also narrates the story to us at which he does an even better job. His work is grounded & can go easily unnoticed, but the character of Red is the soul of this story.There is a reason why this film still connects with so many people & why many of them have latched on to it. There is a reason why even after two decades, its legacy keeps flourishing & viewers keep returning to it despite its low entertainment value. One major reason is that even though The Shawshank Redemption is a prison drama, its story of imprisonment goes far beyond the bricks & steel rods of a jailhouse. The entire picture is a reflection of our own imprisonment in the institutions of our daily lives; institutions like work, family, society etc & living up to the expectations of each one of them.On an overall scale, The Shawshank Redemption stresses that based on the outlook of life, there are only two types of people: one who can be free even in prison while others who find themselves imprisoned even in freedom. The message it is trying to resonate is clear: Fear can hold you prisoner, Hope can set you free. And if we all give ourselves some hope, there is nothing we can't survive. Yes, it all seems preachy n everything, but then if there's ever been a motion picture that has earned this sort of right, it's The Shawshank Redemption. Strongly recommended.",25 July 2010
81,What's SO special?,slayerholmes,"This is a good movie, and surely is right up there among the finest prison/concentration camp depictions which almost ALWAYS have at least competent quality. In my mind I compare this genre to ""submarine""-films: confined space, lots of guys under constant threat, therefore drama and tension easily created without much sweat (ha ha). But also with obvious problems in providing something new. The same situations and characters are presented just from here to eternity, and I rest my case with this movie in question as follows: despotic warden, sadistic guard/s, evil fellow inmates who want to kill/rape you but also few trusted friends (along with that one old timer and his inevitable sad ending) and finally escape by the main protagonist who of course has been convicted in the first place based on false accusations or at least something not-so-bad crime.So what's so special here? 9.1/10, come on... Maybe the same tricks worked here as in that other Stephen King's hit-penitentiary-drama ""The Green Mile"", i.e. manipulative scenes and quickly identified cardboard characters. Or maybe the majority of movie-goers consider what they're watching at face value and never mind that ""I've seen this all before""-feel. Or maybe they haven't or just have a lousy memory? Yes I admit, I'm something of a cynic. But I also believe I'm able to spot an truly honest effort when I see one. Probably that's the reason why I consider the grandpa of them all, Mervyn LeRoy's 1932 ""I'm A Fugitive From A Chain Gang"" as the all-time best prison-flick. No film-snobbery here, as I hope you'll agree when you see this true classic.",21 September 2006
82,absurd and so predictable,CDexterHaven,"This movie is annoying in several ways.  The criminals are all goodhearted, thoughtful, sensitive guys while the guards and warden are the REAL bad guys.  gimme a break.  What is this?  Dukes of Hazard? (which was far better than this).  Further, the plot is so, so, so predicable.  Good guy outsmarts the bad guys and real justice is served. spare me.  I know, a lot of people love this flick, but in my humble opinion it is a big waste of time.

                    18 out of 41 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",21 January 2002
83,I make the questions here!,for_and,"It has a formula that gives you this kick; Darn what a good movie! But I need to say this, sometimes it happens.. So WHY do people love this movie and rate it high, when, or WHY isn't the ""smart"" people declare it like a a peace of art? Or do they?! Still I think it's darn good...but I bet the producer(s) didn't expect that!Like when we vote, for anything, we need to follow our heart. This is a typical movie that is worth every penny, every letter... and it's a typical 90' movie! Oh.. there we have it! Between gone with the wind and now, we NEED this! Love me as I am.. says the storyline, in my head anyway. And I do, yes I do!

                    26 out of 36 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",17 February 2012
84,Compelling masterpiece,bevo-13678,I like the bit when the warden threw the rock through the poster.,29 March 2020
85,"Great story, wondrously told and acted",DennisLittrell,"At the heart of this extraordinary movie is a brilliant and indelible performance by Morgan Freeman as Red, the man who knows how to get things, the ""only"" guilty man at Shawshank prison. He was nominated by the Academy for Best Actor in 1995 but didn't win. (Tom Hanks won for Forrest Gump.) What Freeman does so beautifully is to slightly underplay the part so that the eternal boredom and cynicism of the lifer comes through, and yet we can see how very much alive with the warmth of life the man is despite his confinement. Someday Morgan Freeman is going to win an Academy Award and it will be in belated recognition for this performance, which I think was a little too subtle for some Academy members to fully appreciate at the time.But Freeman is not alone. Tim Robbins plays the hero of the story, banker Andy Dufresne, who has been falsely convicted of murdering his wife and her lover. Robbins has a unique quality as an actor in that he lends ever so slightly a bemused irony to the characters he plays. It is as though part of him is amused at what he is doing. I believe this is the best performance of his career, but it might be compared with his work in The Player (1992), another excellent movie, and in Mystic River (2003) for which he won an Oscar as Best Supporting Actor.It is said that every good story needs a villain, and in the Bible-quoting, Bible-thumping, massively hypocritical, sadistic Warden Samuel Norton, played perfectly by Bob Gunton, we have a doozy. I want to tell you that Norton is so evil that fundamentalist Christians actually hate this movie because of how precisely his vile character is revealed. They also hate the movie because of its depiction of violent, predatory homosexual behavior (which is the reason the movie is rated R). On the wall of his office (hiding his safe with its ill-gotten contents and duplicitous accounts) is a framed plaque of the words ""His judgment cometh and that right soon."" The irony of these words as they apply to the men in the prison and ultimately to the warden himself is just perfect. You will take delight, I promise.Here is some other information about the movie that may interest you. As most people know, it was adapted from a novella by Stephen King entitled ""Rita Hayworth and the Shawshank Redemption."" Rita Hayworth figures in the story because Red procures a poster of her for Andy that he pins up on the wall of his cell. The poster is a still from the film Gilda (1946) starring her and Glenn Ford. We see a clip from the black and white film as the prisoners watch, cheering and hollering when Rita Hayworth appears. If you haven't seen her, check out that old movie. She really is gorgeous and a forerunner of Marilyn Monroe, who next appears on Andy's wall in a still from The Seven Year Itch (1955). It's the famous shot of her in which her skirt is blown up to reveal her shapely legs. Following her on Andy's wall (and, by the way, these pinups figure prominently in the plot) is Rachel Welsh from One Million Years B.C. (1966). In a simple and effective device these pinups show us graphically how long Andy and Red have been pining away.Frank Darabont's direction is full of similar devices that clearly and naturally tell the story. There is Brooks (James Whitmore) who gets out after fifty years but is so institutionalized that he can't cope with life on the outside and hangs himself. Playing off of this is Red's periodic appearance before the parole board where his parole is summarily REJECTED. Watch how this plays out at the end.The cinematography by Roger Deakins is excellent. The editing superb: there's not a single dead spot in the whole movie. The difference between the good guys (Red, Andy, Brooks, etc.) and the bad guys (the warden, the guards, the ""sisters,"" etc.) is perhaps too starkly drawn, and perhaps Andy is a bit too heroic and determined beyond what might be realistic, and perhaps the ""redemption"" is a bit too miraculous in how beautifully it works out. But never mind. We love it.All in all this is a great story vividly told that will leave you with a true sense of redemption in your soul. It is not a chick flick, and that is an understatement. It is a male bonding movie about friendship and the strength of character, about going up against what is wrong and unfair and coming out on top through pure true grit and a little luck.Bottom line: one of the best ever made, currently rated #2 (behind The Godfather) at the IMDb. Don't miss it.(Note: Over 500 of my movie reviews are now available in my book ""Cut to the Chaise Lounge or I Can't Believe I Swallowed the Remote!"" Get it at Amazon!)",20 May 2004
86,I didn't think films could be this good....,kasparov,"The Shawshank Redemption came out in 1994 and was an absolute flop but found its real audience in home video, peaking as the most rented video of 1995 in the USA. A wonderful film that takes you into the prison experience of Red(Morgan Freeman) and Andy (Tim Robbins). Andy being a banker convicted of murder and Red a murderer already serving time, this movie takes you to the limits of human endurance, where the human spirit eventually prevails. The TSR takes you on an emotional journey that you will remember for a long time, thanks to the superb crafting of the film and sincere performances by the cast. The score is deep and haunting, this film is for the ages and will permenantly have a place in my heart. To me it is the best film of the 90's and quite possibly one of the best of all time.The fact that this film is sitting at No.2 is a testament to just how many people love this film, many viewers seem to have an emotional bond with the film, and I don't blame them. I only wish that I could view the film for the first time again, and experience that redeeming feeling Andy and Red experienced at the end.Ignore the hype surrounding the film and judge it on your own experience, the last half hour are especially beautiful. Watch this if you already haven't, and enjoy the masterpiece that Frank Darabont has so gracefully given us the privilege of viewing. 10/10",16 March 2006
87,A Truly Uplifting Film,Sara-18,"Shawshank Redemption is without a doubt the most uplifting and touching film I have ever seen. It is the only movie I've seen that has made tears of happiness come to my eyes. I would (and do) recommend this film to anyone and everyone.

                    17 out of 23 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",28 December 1998
88,Excellent Stephen King adaptation; flawless Robbins & Freeman,george.schmidt,"THE SHAWSHANK REDEMPTION (1994) **** Tim Robbins, Morgan Freeman, Bob Gunton,Clancy Brown, William Sadler, James Whitmore, Gil Bellows. Excellent adaptation of Stephen King's novella ""Rita Hayworth and The Shawshank Redemption"" with falsely accused of murdering his wife Robbins facing hard time in a corrupt prison and a solid friend (Freeman in an unforgettable Oscar-nominated performance of stoicism). Great acting and above the preconceived ""prison film"" genre that also breaks away from the cliché of the human spirit yet enables its elements. Nominated for several Oscars including Best Picture, Screenplay Adaptation and Director.

                    11 out of 15 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",22 April 2003
89,"A Bit Over-Rated Perhaps, But Still A Good Movie With Great Performances From Freeman and Robbins",sddavis63,"Deliberately (some might even say slowly in places) paced, ""The Shawshank Redemption"" alternates between offering a grittily realistic portrayal of life in prison and flights of fancy that make the story too unbelievable to really be accepted. There is an interesting subplot (which doesn't take up much of the movie but which does make the viewer ponder) about the difficulties of adjusting to life in the real world after extended periods of incarceration. The performances from the two leads are excellent. Morgan Freeman puts on his usual outstanding performance as ""Red"" - the wise old con through whose eyes the story is told, and Tim Robbins as Andy Dufresnce, a young banker wrongly convicted of murdering his wife and her lover who has to adjust to the nightmare of prison life. Among the supporting cast I was impressed with Bob Gunton as the Bible-spouting but corrupt Warden Norton, who uses Andy's financial expertise to enrich himself, and James Whitmore as Brooks, imprisoned for fifty years and terrified when he is finally granted parole and who, unable to adjust to life on the outside, yearns only to be back in the only home he ever knew - prison. It's an interesting twist - experience also by Red later on in the movie - that freedom can seem to be like a prison for those so accustomed to the regimentation of life in an institution.While the movie is impressive and engrossing all the way through, though, there are some weaknesses to the story that bothered me a bit. (There are some spoilers ahead.)I found it difficult to imagine prison guards from all over the State of Maine bringing their tax returns to Andy. It just didn't seem to me like something that would have happened. It also struck me as unlikely that a letter-writing campaign from one solitary prisoner (even one that lasted six years, one letter a week) would have convinced the State to fund the improvements Andy got for the prison library. I would rather expect that after a while the letters would simply start to be discarded. Andy's escape also bothered me. It was too ""easy"" - even though it took twenty years. And how did he keep that suit so spotless and unwrinkled while crawling through that dirty sewer? Mind you, the moments leading up to the discovery of his escape were among the most dramatic in the movie. The very end of the story was also clearly telegraphed some time before.Frankly speaking, I think ""The Shawshank Redemption"" is a bit over-rated here at IMDb, being ranked the second best movie of all time, but this is still a very, very good movie, and an excellent portrayal (through Andy) of the survival of the human spirit in even the toughest times. Personally, I give it a 7/10.",31 August 2002
90,Papillion is much better,Mad-John,"Oh come on 2nd best movie ever, I don't think so.  It's unrealistic and overly sentimental, the people who voted so high can't have seen many films. By all means watch it, but Papillion for example, is far superior, who can forget Steve McQueen's red rimmed eyes and pasty face as he catches bugs, and crushes centipedes into his watery broth to get nourishment in that incredible portrayal of hardship and determination.  I wouldn't put Papillion as the 2nd best film of all time, but it has to be the best Prison drama.  Watch Shawshank and you'll enjoy it as a lightweight entertaining feel good movie, but there are so many classic films better than this.

                    16 out of 36 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",5 July 2002
91,Highly Overrated But Only Good,kaushalkrushnakantraj,"However delightful as it is The Shawshank Redemption has no allegories and no statements to make and it brought nothing new to cinema in either style or substance.It had no revolutionary ideas or approaches it's only a very safe buddy story A damn good one but still just that. So it can impossibly be a film that will be remembered or studied, because what will it be remembered for Friendship Huh neat At the end of the day Shawshank is a good film but far from a perfect one. I'm not interested in responding to its Top 250 placement with my review as countless others have done but the fact that it has been voted into the number one slot is a reflection of how universal its appeal is it's about as likable and massmarketed as possible There's nothing here to really offend or provoke and the film doesn't take enough changes to potentially polarize audiences it plays it safe and in my opinion a bit too safe. I can't say much more than I was incredibly underwhelmed by this film .Perhaps it was that I had been told what a great film it was by all and sundry but I found it utterly average I am afraid I just didn't get what was so fantastic about the movie Every other second i was hearing violins about how this poor guy got landed in jail for a murder he didn't commit. It's stereotypical and you guys who voted 10 bought it hook, line and sinker.But what about the great twist ok the twist was good but come on like i said before was it THAT great Ask yourselves honestly, was that better than The Sixth Sense's or The Usual Suspects Also how come foreign films which are far superior to this get no credit Watch Le Samurai or La Haine or Todo Sobre Mi Madre. Far more superior
.Don't get me wrong it was an entertaining film but not the masterpiece I was lead to believe it was SorryThe film's message of hope and redemption is way too heavy-handed, the outcome being a movie that is very simple and easy to digest but not really very interesting beyond its surface.On the other end of the spectrum I have yet to understand why this film was nominated for as many Oscars as it was and why so many people have fallen in love with it. To place it on the same level as The Godfather and several hundred other films has to be the result of different tastes. It speaks volumes that so many people who have gone through depression often reference this as one of the aids they used for comfort it's a movie that pats people on the back and gives them hope and inspiration But moving on and looking past that it is possibly one of my all-time favourite films for the feelings it leaves Sure it often jerks you for tears just a bit too purposely but this is forgivable because emotion is crucial to a prison story On top of that it never falls prey to predictable sappiness probably because of its content which is devoid of sentimental romance and instead fills you up with a tragic friendship. It is so well sewn together by a feel good narrative by Morgon Freeman that it is impossible not to enjoy this film That common misunderstanding behind, a well made film Not much can be said about the actors that hasn't been said Morgan Freeman gives one of the best performances of his career, and even though I've only seen 2 or 3 other Tim Robbins movies I'm sure the same can be said for himThough I don't agree with the multitudes of people that call this the best movie ever made it was still a very good very well made very entertaining and almost heartbreakingThis is a film that should be seen because its a good movie not because its a great one.",28 June 2022
92,nice,shiaunmiles,"Nice title :) 10/10 best one i have seen my dude couldn't get any better

                    7 out of 8 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",2 March 2020
93,Number two? Fine by me **** (out of ****),jaesboxer,"I have long viewed the Shawshank Redemption as the most underrated film of all time.  That isn't to say that it wasn't universally acknowledged by the movie-going public as a great movie, but in terms of awards, critical acclaim, and best ever lists, this has somehow kept on losing out.  Now that I see it has the number two position, as voted by the movie-going public, on probably the most accurate best ever list in the world (AFI be damned), I am eminently pleased.  There is no way Forrest Gump should have won best picture over Shawshank.  Certainly, Forrest Gump is a charming, well-acted film, but it is nothing compared to this.  Morgan Freeman excels, and Tim Robbins turns in his best performance.  If you haven't seen this masterpiece, get up and rent it immediately.

                    7 out of 8 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",11 September 2003
94,Classic,dickinsonjason-34081,"This Is Such A Classic And One Of My Favorite Movies Always Loved Watching This Movie

                    7 out of 8 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",30 August 2020
95,Why can't they make films like this anymore?,AlsExGal,"It's not a complex tale, but it is a tale done well that is inspirational in spite of the bleak environment.I am continually fascinated by the complexity of Andy Dufresne. (Presumably) the only innocent man in Shawshank, it is nevertheless Andy who seems to best incapsulate the guilt of his actions. Did he kill his wife? No. But I always feel as though he blames himself for her cheating, blames himself for wanting to kill her, and seems to accept his fate more than most men might.The friendship of Red and Andy is regularly regarded as one of the high points of this film, and it has always resonated with me. The innocent man (Andy) breaks all sorts of laws and plans an elaborate prison break. The guilty man (Red) pays for his crimes and is eventually released on good behavior. Both end up together on a beach in Mexico, to live out the rest of their lives in solitude, apart from society. That's always felt like the tragedy of Shawshank; criminal or not, everyone ends up the same broken man by the end.The brief moments of freedom in this film shine like nothing else, for me. The beer break on the roof, the opera played over the PA, and finally the broken boat on the shores of the Pacific: each of these moments is engineered by Andy to get a taste, a glimpse of freedom. Things that he had taken for granted before Shawshank. That scene where the men drink the beer on the roof looks like the tastiest beer I could ever imagine, almost completely because of the dark tone of the film up until that point.",23 October 2020
96,the Shawshank redemption is a world class film,curtisbates9,"the Shawshank redemption should be played throughout the world in all schools to teach people the hard life of prison but the bond between friends and the idea of hope. Morgan freeman is a second to none actor he lays the role perfectly and i could not think what the film would be like without him. all the other actors perform perfectly. this movie is a movie of inspiration and one of which will get people through harsh times. this film always restores my faith in mankind i simply love it. I first saw this film sitting on my brothers desk and i was intrigued by the idea of a film set in prison where hope and other morale values were the storyline instead of violence and havoc, this is a amazing film which brings pride to the actors and crew who produced it. the setting of the movie is one of perfection the Gothic grounds and the stunning facilities astound me i'am finding it hard to put in to words how much this film means to me i would say it is one of the greatest film's ever made in my time and i love it.

                    11 out of 14 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",17 April 2012
97,Brilliant & Excellent,meetnavpk,"By far the best movie ever...No Doubt this is the best ever movie you will ever see, It is easily the best movie of my life-time so far.Morgan Free is a legend and Rest of the Crew did a marvellous job as well. Well written / narrated and directed movie of all times.10 out 10.It has been on number one ranking on IMDb and most of the other movie rating websites forever now.The best past of the movie is narrated voice by Morgan Freeman.The character Andy Dufrain is a very well composed and the Warden character has lot of punch into it.Escape from prison was the best it can ever get.Marvellous piece of Art.",13 September 2013
98,Simply a great story that is moving and uplifting,bob the moo,"Andy Defresne is a young banker who goes to pieces when he learns his wife is being unfaithful.  He gets drunk and wakes in his car, where he is picked up for the murder of his wife and her lover.  Despite his pleas of innocence, Andy is sentenced to life in prison where he is immediately introduced to the horrors of live inside.  Fellow lifer, Red, tells Andy's story of how he held hope and managed to use his banking skills to improve the conditions for himself and others.I saw this film in the cinema when it came out and, looking back, it is surprising how little fuss was made over it at the time - I was one of 15 or 20 people in the cinema when I saw it (on it's second week out!).  However time has brought it to the top of many popular lists of films and it is mainly due to a story that is based around friendship and hope that engages and eventually uplifts.If you are going to adapt a Stephen King book, the lesson from this film and others appears to be to adapt a short one.  Here the story is set up well with all the usual stuff that we expect from prison dramas, but with the key difference that these events are not the film - no the film is about Andy and Red's friendship.  These two men are great characters and I was very easily drawn into their story.  It is witty, dark and yet enjoyable all at the same time.  It is impossible not to be affected by the ending and this simple uplifting sentiment is part of the reason it has been taken in by so many viewers as one of their favourites.Of course it is a little long at times and for my personal tastes it is a little too sentimental at times although this is to be expected with any Hollywood film.  The slightly sentimental view of the prison also goes so far to ignore the idea that there would be any homosexual relationship that aren't rape and even ruling out any suggestion of racism - there is no tension or segregation in evidence here.  I won't do spoilers but the ending was too clear for me where leaving us with more questions would have been more in holding with the idea of hope that the film had traded in prior to this.  The characters work well due to some great performances.  Robbins is great as Andy and he ages and grows well - whether or not he is believable in his calm approach to the punishment he takes is another matter, but I was caught up in the film enough to get past that.  Freeman may not be the Irish guy from the book (hence the name Red) but he is excellent as the father figure - even if he appears to age very slowly in comparison to Andy.  The chemistry between the two is the key and it really works.Of course having a support cast that includes a great number of fine support actors probably helped.  People like Gunton, Sadler, Bellows and others may not always be great but here they fit the bill. Yes the characters tend to be very clichéd (the bird man, the rapists etc) but again that comes with the genre and I was able to get past these by focusing on the main relationship.  The surprise performance for me was from Clancy Brown - not the most subtle of actors (Highlander is his other famous role) but he is very good here indeed, albeit with little actual character depth.  As director Darabont has done very well, framing some great shots (that crane shot as the bus arrives for the first time) as well as a shot that has become almost iconic.  He is helped by a score that fits the sweeping sense of hope that the film brings.Overall this is an imperfect film and it is flattered by it regular high appearance on the popular `best film' lists.  However it is also a great little story that twists and turns as it is told, it has all the clichés of the genre but at it's heart it is based on friendship and a sense of hope that it is hard not to find uplifting.  For all it's faults it is a popular and moving story that seems to do the trick for the majority of those that see it.",13 April 2004
99,Highly Overrated But Still Good,utgard14,"A good prison movie whose cult of fans has made it into something so much more than it is. Greatest movie ever made? Get real. It's not even the greatest prison movie ever made. Hell, it's not even the best movie released in 1994! It's predictable and borrows heavily from decades of prison movie clichés. It's also nowhere near as deep as its staunchest admirers would have you believe. Still, it's an entertaining movie. Nice direction from Frank Darabont. Morgan Freeman is the highlight with a solid supporting cast. Tim Robbins, however, is borderline ridiculous at times with his cartoonish facial expressions and silly ""stares-off-into-the-distance"" moments. He's so far beneath Freeman as an actor it's sad. With a normal movie like this, I would focus more on the positives. I did give it a 7, after all. Unfortunately, it is easily the most overrated movie of all time (on IMDb, for sure) and as such the balance of positive to negative is out of whack.

                    54 out of 125 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",28 May 2014
100,Over rated,v_goggo,"The Shawshank Redemption is with out a doubt one of the most over rated films of the 90s.  There have been many intriguing prison movies over the years, Shawshank is not one of them. Instead it's sentimental slop served to uplift the souls of the American people.  There is never any sense in the film that Tim Robbin's character is in true danger.  If the film wanted to show the true horror of prison maybe it should of been far more darker, instead of inspiration. Morgan Freeman is wasted as usual, in the role of wisdom spouting inmate. Freeman's character is mainly there to look wise and bring inspiration to us all, but he is never treated as a typical person. Tim Robbins is good, but his character is all good, while the prison warden is sure evil. Everything is black and white.  Shawshank has potential to be great, but director Frank Darabant's obsession with being Frank Capra ruins the film at every turn.

                    25 out of 61 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",23 July 2003
101,This is one of the most inspiring n one of the greatest film.,Fella_shibby,"The Shawshank Redemption is undoubtedly deserves to be the highest rated movie. I watched this movie for the umpteenth time. A movie I would never ever get bored of. Written & directed by Frank Darabont, this prison drama is a simple but profoundly moving tale of hope, friendship & redemption. Cinematography exquisitely captures the monotonous daily life inside prison. The bond that grows between the two main characters is unforgettable and the score is the best I have heard. Morgan Freeman makes us feel the sadness and Tim Robbins, the faith. The more times you watch it, the more you love it, and the more you learn from it. Whatever you do, don't listen to the people who say this movie is overrated because this is one of the most inspiring and greatest film. It has everything you could possibly want in a movie. If you don't love Shawshank, chances are you are beyond redemption. It is hard to find a more proper word for the film than a masterpiece. It's in my top five movies of all time. I feel so bad about not writing a review of this masterpiece during the late nineties.

                    14 out of 19 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",5 March 2016
102,Better Late Then Never,jnelso19,"Along with Q and Pulp Fiction, Frank Darabont (The Walking Dead original writer) and his debut film got screwed by the Hollywood Powerhouse that is Tom Hanks with this now can be considered an American Classic. The fact that this film barely and I emphasize barely made it's money back in US theaters (which is usually a signal for a film to turn into a DOA when released at home) and it made such a splash, that the film is exceeding what anyone thought a simple 18 years ago. This includes some of Hollywood's best critics including EW's Owen Gleiberman who originally gave the film a B- back in late '94. Yet over time, this story of redemption, like the rise of hope this film gives from beginning to end, grows on you to the point where at the very end, you have no choice but to clap (I clapped in my basement in front of my parents and I haven't looked the same since). Darabont found a formula that worked and it shows in his future films. He made Robbins human, made Morgan Freeman's voice as American as a Big Mac and made the late great Rita Hayworth relevant again. The only regret that one should have is the fact that if it was released two years later it would've swept away the Oscars (Sorry Ralph Fiennes, The English Patient won on a weak year.)",23 December 2012
103,G.O.A.T,darshansr-93257,"I've watched great movies. The Godfather, The Lord of the Rings Trilogy, Citizen Kane, Casablanca, Lawrence of Arabia, The Mummy (1999), The Green Mile, Silence of the Lambs, E. T. the Extra-Terrestrial, 2001: A Space Odyssey, etc. Inasmuch as they are outrageously great, none of them come close to this absolute masterpiece.In a world where there's so much despair, so much crime, so much death and destruction, you would think there's no light at the end of the tunnel. But nope. This movie reminds us that, despite the trials and tribulations we face everyday, there's one thing that cannot be toppled....
HOPE.""To live without hope is to cease to live."" - Fyodor Dostoyevsky
""Get busy living.... or get busy dying!"" - Andy DufresneThis movie, in my own opinion, is the greatest movie of all time.",12 September 2022
104,The best movie i ever watched,mtaimoor-96645,"Tye movie is just perfect. The acting the story the characters are just so good that they will even make you cry

                    4 out of 4 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",1 November 2020
